 SName   Trtime       RAsw    Desw    pe  T90   Flu  Flue  P1  Pe
210731A	22:21:08	300.311	-28.056	1.7	22.51	22	2	1.6	0.3
210730A	04:57:29	149.570	69.703	1.0	3.86	13	1	7.1	0.5
210726A	19:19:03	193.333	19.211	2.6	0.39	0.45	0.11	0.7	0.3
210725B	12:00:48	192.914	17.130	2.7	48.00	4.9	1.1	0.6	0.2
210725A	03:47:02	215.381	-1.177	2.3	53.54	8.1	1.2	1.0	0.2
210724A	20:14:09	227.425	-6.279	1.9	50.57	18	2	2.5	0.8
210723A	14:46:10	121.723	-32.893	1.0	48.54	53	2	3.1	0.3
210722A	20:54:42	27.031	-6.347	1.2	50.20	25	2	2.2	0.5
210712A	09:43:11	97.322	-35.376	1.7	136.41	30	3	2.3	0.3
210708B	13:23:24	142.594	14.523	2.5	298.43	22	4	NA	0.3
210708A	02:25:37	173.759	-49.164	2.2	2.77	1.1	0.2	0.8	0.2
210706A	08:17:49.9	312.0124	13.3079	5	NA	NA	NA	NA	NA
210702A	19:07:13	168.570	-36.741	1.5	138.2	98	5	NA	NA
210626A	08:16:15.9	221.6199	-1.1512	5	NA	NA	NA	NA	NA
210622A	01:32:35.9	233.117	-26.213	2.5	NA	NA	NA	NA	NA
210619B	23:59:25	319.718	33.850	1.0	60.90	950	10	115.0	2.2
210618A	01:43:37	235.763	46.072	2.0	2.13	1.8	0.3	1.1	0.2
210610B	19:51:27	243.929	14.398	1.0	69.38	360	10	13.5	0.7
210610A	15:03:43	204.284	14.476	1.7	13.62	10	1	2.4	0.4
210606A	03:56:02	170.904	0.718	4	NA	NA	NA	NA	NA
210605B	14:55:58	15.732	-6.467	5	NA	NA	NA	NA	NA
210527A	07:07:48	172.346	31.627	1.8	63.21	6.5	1.0	0.4	0.1
210517A	05:28:01	358.190	-39.104	2.0	3.06	1.5	0.3	1.5	0.2
210515C	20:02:01	1.106	-14.972	2.0	55.7	5.9	1.1	0.6	0.2
210514A	18:23:47	2.947	-21.898	1.0	70.21	74	2	8.7	0.4
210509A	14:32:20	350.363	6.650	1.5	8.22	3.1	0.4	1.2	0.2
210504A	13:54:53	222.379	-30.557	2.1	135.06	27	2	0.9	0.2
210430A	10:42:10	57.185	45.080	1.7	11.53	9.9	1.3	1.9	0.4
210422A	17:47:10	21.077	42.100	2.1	39.00	7.2	1.1	1.3	0.2
210421B	10:54:44	270.817	56.828	5	NA	NA	NA	NA	NA
210421A	00:27:30	104.882	4.928	1.2	79.52	20	2	2.0	0.3
210420B	18:34:37	254.313	42.558	2.1	158.8	15	2	0.5	0.2
210419C	23:27:49	212.969	36.011	2.1	73.00	8.1	1.2	0.8	0.2
210419A	06:53:41	86.912	-65.452	2.7	64.43	7.8	1.2	0.6	0.2
210413B	23:46:52.45	182.558	55.965	3	1.088	NA	NA	NA	NA
210411C	15:05:51	296.601	-39.399	1.0	12.80	12	1	4.8	0.3
210410A	00:53:16	269.741	45.359	1.0	52.88	56	2	4.0	0.3
210403A	08:27:13	2.813	-33.024	2.6	168.3	27	2	1.1	0.2
210402A	NA	198.265	44.510	1.2	238.7	86	4	1.6	0.2
210323B	12:03:33	259.664	15.677	6	NA	NA	NA	NA	NA
210323A	22:02:18	317.945	25.352	1.4	1.12	2.4	0.3	2.9	0.3
210321A	07:13:51	87.887	70.109	1.6	8.21	6.7	0.8	1.7	0.4
210318B	03:08:33	264.228	-35.823	1.0	14.95	100	2	14.5	0.4
210318A	03:54:31	33.892	-37.755	2.9	48.00	6.4	1.3	0.3	0.3
210308A	06:37:56	67.083	37.429	1.0	5.3	32	1	13.6	0.7
